site,sex,sex_index,species,height
EBT2,m,2,geyer,179
EBT2,m,2,geyer,218
EBT2,m,2,geyer,231
EBT2,m,2,geyer,183
EBT2,m,2,geyer,173
EBT2,m,2,geyer,219
EBT2,m,2,geyer,176
EBT2,m,2,geyer,173
EBT2,m,2,geyer,190
EBT2,m,2,geyer,144
EBT2,m,2,geyer,199
EBT2,m,2,geyer,225
EBT2,m,2,geyer,203
EBT2,m,2,geyer,173
EBT2,m,2,geyer,196
EBT2,m,2,geyer,178
EBT2,m,2,geyer,205
EBT2,m,2,geyer,185
EBT2,m,2,geyer,63
EBT2,m,2,geyer,92
EBT2,m,2,geyer,127
EBT2,m,2,geyer,178
EBT2,m,2,plani,141
EBT2,,0,bebb,113
EBT2,,0,bebb,167
EBT2,,0,booth,66
EBT2,,0,booth,124
EBT2,,0,booth,74
EBT2,,0,booth,133
EBT2,,0,booth,55
EBT2,,0,booth,65
EBT2,,0,drum,86
EBT2,,0,drum,68
EBT2,,0,drum,123
EBT2,,0,drum,93
EBT2,,0,drum,204
EBT2,,0,drum,87
EBT2,,0,drum,174
EBT2,,0,drum,76
EBT2,,0,drum,148
EBT2,,0,geyer,125
EBT2,,0,geyer,163
EBT2,,0,geyer,127
EBT2,,0,geyer,94
EBT2,,0,geyer,54
EBT2,,0,geyer,69
EBT2,,0,geyer,53
EBT2,,0,geyer,103
EBT2,,0,geyer,115
EBT2,,0,geyer,85
EBT2,,0,plani,130
Elk1,,0,geyer,101
Elk1,,0,geyer,63
Elk1,,0,plani,140
Elk1,,0,pseudo,103
Elk1,,0,pseudo,85
Elk1,,0,pseudo,171
Elk1,,0,pseudo,72
ELK2,f,1,bebb,204
ELK2,f,1,bebb,142
ELK2,f,1,bebb,99
ELK2,f,1,booth,91
ELK2,f,1,booth,154
ELK2,f,1,booth,185
ELK2,f,1,booth,187
ELK2,f,1,booth,200
ELK2,f,1,geyer,384
ELK2,f,1,geyer,183
ELK2,f,1,geyer,208
ELK2,f,1,geyer,197
ELK2,f,1,geyer,67
ELK2,f,1,geyer,103
ELK2,f,1,geyer,216
ELK2,f,1,geyer,153
ELK2,f,1,geyer,167
ELK2,f,1,geyer,219
ELK2,f,1,plani,142
ELK2,f,1,plani,70
ELK2,f,1,pseudo,108
ELK2,f,1,pseudo,105
ELK2,m,2,bebb,109
ELK2,m,2,plani,98
ELK2,m,2,pseudo,82
ELK2,m,2,pseudo,110
ELK2,,0,bebb,90
ELK2,,0,bebb,142
ELK2,,0,bebb,97
ELK2,,0,bebb,98
ELK2,,0,bebb,147
ELK2,,0,bebb,69
ELK2,,0,bebb,171
ELK2,,0,bebb,199
ELK2,,0,bebb,205
ELK2,,0,bebb,72
ELK2,,0,bebb,134
ELK2,,0,bebb,145
ELK2,,0,bebb,87
ELK2,,0,bebb,193
ELK2,,0,bebb,123
ELK2,,0,bebb,99
ELK2,,0,bebb,90
ELK2,,0,bebb,77
ELK2,,0,bebb,134
ELK2,,0,bebb,108
ELK2,,0,bebb,74
ELK2,,0,bebb,92
ELK2,,0,bebb,111
ELK2,,0,bebb,82
ELK2,,0,bebb,112
ELK2,,0,bebb,139
ELK2,,0,bebb,79
ELK2,,0,bebb,125
ELK2,,0,bebb,120
ELK2,,0,bebb,70
ELK2,,0,bebb,75
ELK2,,0,bebb,72
ELK2,,0,bebb,90
ELK2,,0,bebb,105
ELK2,,0,bebb,112
ELK2,,0,bebb,116
ELK2,,0,bebb,117
ELK2,,0,bebb,126
ELK2,,0,bebb,125
ELK2,,0,bebb,73
ELK2,,0,bebb,92
ELK2,,0,bebb,118
ELK2,,0,bebb,114
ELK2,,0,bebb,147
ELK2,,0,bebb,110
ELK2,,0,bebb,96
ELK2,,0,bebb,134
ELK2,,0,bebb,93
ELK2,,0,bebb,84
ELK2,,0,bebb,70
ELK2,,0,booth,116
ELK2,,0,booth,66
ELK2,,0,booth,58
ELK2,,0,booth,90
ELK2,,0,booth,74
ELK2,,0,booth,98
ELK2,,0,booth,144
ELK2,,0,booth,165
ELK2,,0,booth,148
ELK2,,0,booth,141
ELK2,,0,booth,124
ELK2,,0,booth,148
ELK2,,0,booth,77
ELK2,,0,booth,145
ELK2,,0,booth,151
ELK2,,0,booth,78
ELK2,,0,booth,76
ELK2,,0,booth,74
ELK2,,0,booth,127
ELK2,,0,booth,46
ELK2,,0,geyer,102
ELK2,,0,geyer,111
ELK2,,0,geyer,138
ELK2,,0,geyer,163
ELK2,,0,geyer,151
ELK2,,0,geyer,96
ELK2,,0,geyer,203
ELK2,,0,geyer,116
ELK2,,0,geyer,72
ELK2,,0,geyer,83
ELK2,,0,geyer,122
ELK2,,0,geyer,106
ELK2,,0,geyer,112
ELK2,,0,geyer,153
ELK2,,0,geyer,92
ELK2,,0,geyer,162
ELK2,,0,geyer,92
ELK2,,0,geyer,89
ELK2,,0,geyer,108
ELK2,,0,geyer,120
ELK2,,0,geyer,169
ELK2,,0,geyer,98
ELK2,,0,geyer,101
ELK2,,0,geyer,87
ELK2,,0,geyer,84
ELK2,,0,geyer,126
ELK2,,0,geyer,127
ELK2,,0,geyer,93
ELK2,,0,geyer,91
ELK2,,0,geyer,77
ELK2,,0,plani,67
ELK2,,0,pseudo,121
ELK2,,0,pseudo,67
ELK2,,0,pseudo,203
ELK2,,0,pseudo,66
ELK2,,0,pseudo,166
ELK2,,0,pseudo,156
ELK2,,0,pseudo,125
ELK2,,0,pseudo,77
ELK2,,0,pseudo,113
ELK2,,0,pseudo,104
ELK2,,0,pseudo,103
ELK3,f,1,bebb,320
ELK3,f,1,bebb,70
ELK3,f,1,booth,119
ELK3,f,1,drum,50
ELK3,f,1,drum,54
ELK3,f,1,pseudo,134
ELK3,f,1,pseudo,282
ELK3,m,2,bebb,243
ELK3,,0,bebb,104
ELK3,,0,bebb,140
ELK3,,0,bebb,126
ELK3,,0,bebb,59
ELK3,,0,bebb,155
ELK3,,0,bebb,158
ELK3,,0,bebb,74
ELK3,,0,bebb,90
ELK3,,0,bebb,138
ELK3,,0,bebb,140
ELK3,,0,bebb,74
ELK3,,0,bebb,81
ELK3,,0,bebb,60
ELK3,,0,bebb,55
ELK3,,0,bebb,137
ELK3,,0,bebb,64
ELK3,,0,bebb,78
ELK3,,0,bebb,78
ELK3,,0,bebb,125
ELK3,,0,booth,50
ELK3,,0,booth,59
ELK3,,0,booth,84
ELK3,,0,booth,54
ELK3,,0,booth,111
ELK3,,0,booth,79
ELK3,,0,geyer,96
ELK3,,0,geyer,91
ELK3,,0,pseudo,92
ELK3,,0,pseudo,69
ELK3,,0,pseudo,130
ELK4,f,1,bebb,124
ELK4,f,1,bebb,163
ELK4,f,1,bebb,127
ELK4,f,1,bebb,132
ELK4,f,1,bebb,130
ELK4,f,1,bebb,109
ELK4,f,1,bebb,114
ELK4,f,1,bebb,86
ELK4,f,1,bebb,132
ELK4,f,1,bebb,140
ELK4,f,1,bebb,154
ELK4,f,1,bebb,103
ELK4,f,1,bebb,171
ELK4,f,1,bebb,89
ELK4,f,1,bebb,80
ELK4,f,1,bebb,101
ELK4,f,1,bebb,144
ELK4,f,1,bebb,134
ELK4,f,1,booth,67
ELK4,f,1,geyer,133
ELK4,f,1,geyer,163
ELK4,f,1,geyer,135
ELK4,f,1,geyer,123
ELK4,f,1,geyer,126
ELK4,f,1,geyer,113
ELK4,f,1,geyer,109
ELK4,f,1,geyer,51
ELK4,f,1,geyer,85
ELK4,f,1,geyer,80
ELK4,f,1,geyer,73
ELK4,f,1,pseudo,197
ELK4,f,1,pseudo,177
ELK4,f,1,pseudo,108
ELK4,f,1,pseudo,166
ELK4,f,1,pseudo,167
ELK4,f,1,pseudo,128
ELK4,f,1,pseudo,193
ELK4,f,1,pseudo,86
ELK4,f,1,pseudo,79
ELK4,f,1,pseudo,122
ELK4,f,1,,77
ELK4,m,2,bebb,174
ELK4,m,2,bebb,133
ELK4,m,2,bebb,156
ELK4,m,2,bebb,198
ELK4,m,2,bebb,118
ELK4,m,2,booth,102
ELK4,m,2,geyer,156
ELK4,m,2,geyer,102
ELK4,m,2,geyer,130
ELK4,,0,booth,63
ELK4,,0,booth,74
ELK4,,0,geyer,155
ELK4,,0,geyer,52
ELK4,,0,pseudo,98
ELK4,,0,bebb,119
ELK4,,0,bebb,135
ELK4,,0,bebb,145
ELK4,,0,bebb,131
ELK4,,0,bebb,172
ELK4,,0,bebb,148
ELK4,,0,bebb,112
ELK4,,0,bebb,110
ELK4,,0,bebb,118
ELK4,,0,bebb,149
ELK4,,0,bebb,95
ELK4,,0,bebb,117
ELK4,,0,bebb,96
ELK4,,0,bebb,108
ELK4,,0,bebb,174
ELK4,,0,bebb,122
ELK4,,0,bebb,122
ELK4,,0,bebb,162
ELK4,,0,bebb,83
ELK4,,0,bebb,110
ELK4,,0,bebb,99
ELK4,,0,bebb,105
ELK4,,0,bebb,103
ELK4,,0,bebb,81
ELK4,,0,bebb,95
ELK4,,0,bebb,81
ELK4,,0,bebb,102
ELK4,,0,booth,135
ELK4,,0,booth,121
ELK4,,0,booth,101
ELK4,,0,booth,74
ELK4,,0,geyer,117
ELK4,,0,geyer,93
ELK4,,0,geyer,84
ELK4,,0,geyer,199
ELK4,,0,geyer,147
ELK4,,0,geyer,142
ELK4,,0,geyer,138
ELK4,,0,geyer,130
ELK4,,0,geyer,377
ELK4,,0,geyer,95
ELK4,,0,geyer,341
ELK4,,0,geyer,103
ELK4,,0,geyer,88
ELK4,,0,geyer,107
ELK4,,0,geyer,81
ELK4,,0,geyer,83
ELK4,,0,geyer,91
ELK4,,0,geyer,75
ELK4,,0,geyer,116
ELK4,,0,geyer,102
ELK4,,0,geyer,112
ELK4,,0,geyer,89
ELK4,,0,geyer,86
ELK4,,0,geyer,66
ELK4,,0,geyer,100
ELK4,,0,geyer,77
ELK4,,0,geyer,85
ELK4,,0,geyer,76
ELK4,,0,geyer,100
ELK4,,0,pseudo,169
ELK4,,0,pseudo,125
ELK4,,0,pseudo,128
ELK4,,0,pseudo,156
ELK4,,0,pseudo,142
ELK4,,0,pseudo,100
ELK4,,0,pseudo,151
ELK4,,0,pseudo,199
ELK4,,0,pseudo,123
ELK4,,0,booth,94
ELK4,,0,geyer,145
ELK4,,0,geyer,100
ELK4,,0,bebb,72
ELK4,,0,bebb,144
ELK4,,0,bebb,102
ELK4,,0,bebb,124
ELK4,,0,bebb,86
ELK4,,0,bebb,124
ELK4,,0,bebb,129
ELK4,,0,bebb,103
ELK4,,0,bebb,99
ELK4,,0,bebb,90
ELK4,,0,bebb,106
ELK4,,0,bebb,102
ELK4,,0,bebb,135
ELK4,,0,bebb,117
ELK4,,0,bebb,126
ELK4,,0,bebb,192
ELK4,,0,bebb,106
ELK4,,0,bebb,138
ELK4,,0,bebb,154
ELK4,,0,bebb,120
ELK4,,0,bebb,177
ELK4,,0,bebb,150
ELK4,,0,bebb,166
ELK4,,0,bebb,175
ELK4,,0,bebb,136
ELK4,,0,bebb,99
ELK4,,0,bebb,79
ELK4,,0,bebb,121
ELK4,,0,bebb,77
ELK4,,0,bebb,94
ELK4,,0,bebb,101
ELK4,,0,bebb,71
ELK4,,0,bebb,129
ELK4,,0,bebb,99
ELK4,,0,bebb,93
ELK4,,0,bebb,113
ELK4,,0,bebb,76
ELK4,,0,bebb,86
ELK4,,0,bebb,106
ELK4,,0,bebb,90
ELK4,,0,bebb,59
ELK4,,0,bebb,77
ELK4,,0,bebb,58
ELK4,,0,bebb,97
ELK4,,0,bebb,121
ELK4,,0,bebb,121
ELK4,,0,bebb,103
ELK4,,0,bebb,73
ELK4,,0,booth,98
ELK4,,0,booth,116
ELK4,,0,booth,108
ELK4,,0,booth,193
ELK4,,0,booth,121
ELK4,,0,booth,82
ELK4,,0,booth,127
ELK4,,0,booth,68
ELK4,,0,booth,120
ELK4,,0,geyer,96
ELK4,,0,geyer,117
ELK4,,0,geyer,95
ELK4,,0,geyer,149
ELK4,,0,geyer,83
ELK4,,0,geyer,91
ELK4,,0,geyer,86
ELK4,,0,geyer,88
ELK4,,0,geyer,103
ELK4,,0,geyer,116
ELK4,,0,geyer,155
ELK4,,0,geyer,122
ELK4,,0,geyer,108
ELK4,,0,geyer,301
ELK4,,0,geyer,129
ELK4,,0,geyer,126
ELK4,,0,geyer,197
ELK4,,0,geyer,173
ELK4,,0,geyer,151
ELK4,,0,geyer,146
ELK4,,0,geyer,97
ELK4,,0,geyer,95
ELK4,,0,geyer,139
ELK4,,0,geyer,131
ELK4,,0,geyer,110
ELK4,,0,geyer,119
ELK4,,0,geyer,100
ELK4,,0,geyer,105
ELK4,,0,geyer,71
ELK4,,0,geyer,81
ELK4,,0,geyer,98
ELK4,,0,geyer,67
ELK4,,0,geyer,75
ELK4,,0,geyer,82
ELK4,,0,geyer,83
ELK4,,0,geyer,77
ELK4,,0,geyer,86
ELK4,,0,geyer,123
ELK4,,0,geyer,114
ELK4,,0,geyer,98
ELK4,,0,geyer,81
ELK4,,0,geyer,62
ELK4,,0,geyer,63
ELK4,,0,geyer,71
ELK4,,0,geyer,80
ELK4,,0,geyer,88
ELK4,,0,geyer,82
ELK4,,0,geyer,57
ELK4,,0,geyer,72
ELK4,,0,geyer,108
ELK4,,0,geyer,92
ELK4,,0,geyer,72
ELK4,,0,geyer,111
ELK4,,0,geyer,87
ELK4,,0,geyer,68
ELK4,,0,geyer,62
ELK4,,0,geyer,86
ELK4,,0,geyer,93
ELK4,,0,geyer,89
ELK4,,0,geyer,126
ELK4,,0,geyer,90
ELK4,,0,geyer,113
ELK4,,0,geyer,90
ELK4,,0,geyer,45
ELK4,,0,geyer,122
ELK4,,0,geyer,97
ELK4,,0,geyer,74
