site,plot,species,willid,stem1,stem2,stem3,stem4,stem5,stem6,gender,sex_ann,sex_index,.,.
eb2,dc,geyer,48,48,696,697,8960,.,.,.,m,2,.,.
eb2,dc,geyer,50,50,698,699,.,.,.,.,m,2,.,.
eb2,dc,geyer,51,51,700,701,9120,9320,.,.,f,1,.,.
eb2,dc,geyer,55,55,702,703,.,.,.,.,m,2,.,.
eb2,dc,geyer,57,57,704,705,.,.,.,.,m,2,.,.
eb2,dc,geyer,58,58,706,707,9160,.,.,.,m,2,.,.
eb2,dc,geyer,61,61,708,709,.,.,.,f,,1,.,.
eb2,dx,beb,32,32,688,689,.,.,.,f,f,1,.,.
eb2,dx,beb,34,34,690,691,8450,.,.,f,f,1,.,.
eb2,dx,beb,36,36,686,687,.,.,.,m,m,2,.,.
eb2,dx,beb,37,37,684,685,.,.,.,m,m,2,.,.
eb2,dx,beb,41,41,680,681,.,.,.,m,,2,.,.
eb2,dx,beb,45,45,678,679,.,.,.,f,,1,.,.
eb2,dx,beb,46,46,682,683,8850,.,.,f,f,1,.,.
eb2,dx,boothi,39,39,692,693,.,.,.,f,f,1,.,.
eb2,dx,boothi,42,42,694,695,.,.,.,.,f,1,.,.
eb2,dx,geyer,31,31,676,677,.,.,.,m,,2,.,.
eb2,dx,geyer,33,33,674,675,.,.,.,m,,2,.,.
eb2,dx,geyer,35,35,672,673,.,.,.,m,m,2,.,.
eb2,dx,geyer,38,38,664,665,.,.,.,m,,2,.,.
eb2,dx,geyer,40,40,668,669,.,.,.,.,dead,0,.,.
eb2,dx,geyer,43,43,666,667,.,.,.,.,f,1,.,.
eb2,dx,geyer,44,44,670,671,.,.,.,.,,0,.,.
elk,cc,beb,345,345,346,347,3450,.,.,f,,1,.,.
elk,cc,beb,348,348,349,350,.,.,.,f,f,1,.,.
elk,cc,beb,351,351,352,353,9230,.,.,.,none,0,.,.
elk,cc,beb,354,354,355,356,8740,.,.,m,,2,.,.
elk,cc,beb,357,357,358,359,.,.,.,.,none,0,.,.
elk,cc,beb,360,360,361,362,.,.,.,m,m,2,.,.
elk,cc,beb,363,363,364,365,.,.,.,m,,2,.,.
elk,cc,boothi,366,366,367,368,.,.,.,.,,0,.,.
